TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
BOS,11/24/2017,BOS vs. ORL,W,240,118,42,91,46.2,17,42,40.5,17,25,68,13,33,46,27,6,10,8,20,15
BOS,11/22/2017,BOS @ MIA,L,239,98,35,84,41.7,9,26,34.6,19,27,70.4,7,30,37,19,11,4,11,19,-6
BOS,11/20/2017,BOS @ DAL,W,266,110,38,84,45.2,13,36,36.1,21,26,80.8,5,48,53,24,8,4,17,24,8
BOS,11/18/2017,BOS @ ATL,W,240,110,39,82,47.6,16,34,47.1,16,20,80,9,32,41,21,9,6,15,22,11
BOS,11/16/2017,BOS vs. GSW,W,240,92,26,79,32.9,7,32,21.9,33,38,86.8,7,45,52,15,8,5,15,15,4
BOS,11/14/2017,BOS @ BKN,W,239,109,39,86,45.3,9,27,33.3,22,27,81.5,9,40,49,15,8,3,14,14,7
BOS,11/12/2017,BOS vs. TOR,W,239,95,35,87,40.2,10,26,38.5,15,19,78.9,15,31,46,24,9,2,14,18,1
BOS,11/10/2017,BOS vs. CHA,W,240,90,30,84,35.7,9,31,29,21,25,84,9,40,49,15,6,5,13,26,3
BOS,11/08/2017,BOS vs. LAL,W,240,107,38,98,38.8,7,29,24.1,24,31,77.4,16,32,48,20,8,6,13,20,11
BOS,11/06/2017,BOS @ ATL,W,240,110,39,81,48.1,14,36,38.9,18,22,81.8,7,35,42,28,3,3,13,21,-2
BOS,11/05/2017,BOS @ ORL,W,241,104,39,89,43.8,11,33,33.3,15,20,75,9,45,54,26,10,1,13,21,16
BOS,11/03/2017,BOS @ OKC,W,239,101,36,84,42.9,13,28,46.4,16,24,66.7,11,38,49,23,6,2,10,14,7
BOS,11/01/2017,BOS vs. SAC,W,240,113,40,82,48.8,17,41,41.5,16,19,84.2,16,36,52,30,10,3,16,19,27
BOS,10/30/2017,BOS vs. SAS,W,239,108,42,88,47.7,11,31,35.5,13,16,81.3,15,39,54,24,10,6,13,22,14
BOS,10/28/2017,BOS @ MIA,W,240,96,34,81,42,6,23,26.1,22,26,84.6,11,30,41,15,11,5,12,14,6
BOS,10/26/2017,BOS @ MIL,W,241,96,33,78,42.3,11,30,36.7,19,22,86.4,6,39,45,21,7,4,15,14,7
BOS,10/24/2017,BOS vs. NYK,W,241,110,37,75,49.3,14,29,48.3,22,27,81.5,5,36,41,26,11,7,12,24,16.6
BOS,10/20/2017,BOS @ PHI,W,240,102,35,84,41.7,10,29,34.5,22,32,68.8,14,41,55,16,4,5,19,24,10
BOS,10/18/2017,BOS vs. MIL,L,240,100,39,91,42.9,11,28,39.3,11,21,52.4,11,32,43,23,12,2,12,27,-8
BOS,10/17/2017,BOS @ CLE,L,241,99,36,88,40.9,8,32,25,19,25,76,9,37,46,24,11,4,10,24,-3
BKN,01/10/2018,BKN vs. DET,L,240,80,27,74,36.5,12,37,32.4,14,15,93.3,2,33,35,19,11,2,17,11,-34
BKN,04/11/2018,BKN @ BOS,L,240,97,37,91,40.7,11,40,27.5,12,16,75,10,34,44,27,10,6,15,12,-13
BKN,04/07/2018,BKN @ CHI,W,239,124,46,92,50,24,55,43.6,8,11,72.7,5,41,46,36,11,10,13,18,28
BKN,04/05/2018,BKN @ MIL,W,240,119,41,75,54.7,19,39,48.7,18,21,85.7,4,37,41,30,3,12,17,21,8
BKN,04/03/2018,BKN @ PHI,L,240,95,34,81,42,17,42,40.5,10,23,43.5,3,33,36,20,5,6,18,15,-26
BKN,04/01/2018,BKN vs. DET,L,238,96,37,87,42.5,12,43,27.9,10,15,66.7,6,34,40,23,5,5,12,22,-12
BKN,03/31/2018,BKN @ MIA,W,265,110,39,91,42.9,10,35,28.6,22,28,78.6,7,40,47,28,11,5,15,24,1
BKN,03/28/2018,BKN @ ORL,W,241,111,40,87,46,12,34,35.3,19,22,86.4,11,37,48,28,6,5,8,17,7
BKN,03/25/2018,BKN vs. CLE,L,241,114,38,83,45.8,17,37,45.9,21,26,80.8,7,31,38,27,7,3,9,23,-7
BKN,03/23/2018,BKN @ TOR,L,241,112,41,84,48.8,11,27,40.7,19,31,61.3,5,35,40,21,5,9,9,23,-2
BKN,03/21/2018,BKN vs. CHA,L,240,105,39,93,41.9,13,37,35.1,14,21,66.7,10,36,46,22,6,11,12,36,-6
BKN,03/19/2018,BKN vs. MEM,W,239,118,36,72,50,16,40,40,30,40,75,9,32,41,27,5,9,22,22,3
BKN,03/17/2018,BKN vs. DAL,W,240,114,43,84,51.2,14,36,38.9,14,19,73.7,10,33,43,25,4,6,10,14,8
BKN,03/16/2018,BKN @ PHI,L,240,116,40,89,44.9,15,30,50,21,27,77.8,11,36,47,25,4,5,12,22,-4
