TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CLE,04/01/2018,CLE vs. DAL,W,240,98,35,85,41.2,11,26,42.3,17,23,73.9,10,40,50,21,7,1,11,12,11
CLE,03/30/2018,CLE vs. NOP,W,240,107,43,90,47.8,10,24,41.7,11,15,73.3,9,36,45,22,6,2,10,14,5
CLE,03/28/2018,CLE @ CHA,W,243,118,45,93,48.4,11,28,39.3,17,20,85,11,27,38,22,9,1,6,19,13
CLE,03/27/2018,CLE @ MIA,L,241,79,31,85,36.5,4,26,15.4,13,19,68.4,12,30,42,15,8,1,14,18,-19
CLE,03/25/2018,CLE @ BKN,W,239,121,44,87,50.6,12,28,42.9,21,26,80.8,11,38,49,25,5,2,11,21,7
CLE,03/23/2018,CLE vs. PHX,W,238,120,47,95,49.5,8,29,27.6,18,24,75,15,39,54,23,9,4,14,14,25
CLE,03/21/2018,CLE vs. TOR,W,240,132,47,78,60.3,15,24,62.5,23,28,82.1,4,29,33,28,3,4,9,18,3
CLE,03/19/2018,CLE vs. MIL,W,241,124,43,87,49.4,15,38,39.5,23,27,85.2,12,30,42,24,4,6,13,17,7
CLE,03/17/2018,CLE @ CHI,W,241,114,44,87,50.6,13,37,35.1,13,20,65,11,33,44,25,4,5,13,14,5
CLE,03/15/2018,CLE @ POR,L,239,105,41,80,51.3,11,33,33.3,12,21,57.1,2,32,34,17,5,7,11,21,-8
CLE,03/13/2018,CLE @ PHX,W,239,129,43,87,49.4,17,35,48.6,26,30,86.7,5,39,44,25,12,9,19,25,22
CLE,03/11/2018,CLE @ LAL,L,239,113,41,88,46.6,12,31,38.7,19,23,82.6,7,30,37,22,4,5,12,18,-14
CLE,03/09/2018,CLE @ LAC,L,242,102,39,87,44.8,12,36,33.3,12,18,66.7,8,32,40,22,10,7,12,28,-14
CLE,03/07/2018,CLE @ DEN,W,242,113,44,87,50.6,13,29,44.8,12,18,66.7,7,28,35,25,10,4,10,19,5
CLE,03/05/2018,CLE vs. DET,W,241,112,43,88,48.9,12,33,36.4,14,17,82.4,11,42,53,29,8,2,14,18,22
CLE,03/03/2018,CLE vs. DEN,L,239,117,46,88,52.3,9,24,37.5,16,21,76.2,12,29,41,25,5,2,9,16,-9
CLE,03/01/2018,CLE vs. PHI,L,239,97,36,87,41.4,9,32,28.1,16,23,69.6,10,35,45,23,4,6,9,21,-11
CLE,02/27/2018,CLE vs. BKN,W,242,129,50,97,51.5,12,24,50,17,27,63,14,41,55,24,7,1,11,24,6
CLE,02/25/2018,CLE vs. SAS,L,239,94,38,91,41.8,8,34,23.5,10,14,71.4,13,34,47,18,8,3,15,24,-16
CLE,02/23/2018,CLE @ MEM,W,239,112,40,87,46,11,29,37.9,21,22,95.5,7,39,46,26,13,9,18,23,23
CLE,02/22/2018,CLE vs. WAS,L,241,103,42,84,50,8,35,22.9,11,19,57.9,6,30,36,20,5,2,13,15,-7
CLE,02/13/2018,CLE @ OKC,W,241,120,45,88,51.1,16,36,44.4,14,22,63.6,10,31,41,24,6,3,7,28,8
CLE,02/11/2018,CLE @ BOS,W,241,121,45,84,53.6,16,30,53.3,15,20,75,5,36,41,22,7,6,11,20,22
CLE,02/09/2018,CLE @ ATL,W,240,123,46,86,53.5,15,35,42.9,16,24,66.7,6,37,43,31,8,4,9,17,16
CLE,02/07/2018,CLE vs. MIN,W,264,140,52,88,59.1,21,41,51.2,15,23,65.2,7,34,41,33,5,1,15,21,2
CLE,02/06/2018,CLE @ ORL,L,242,98,36,84,42.9,12,37,32.4,14,20,70,9,27,36,19,4,4,14,24,-18
CLE,02/03/2018,CLE vs. HOU,L,239,88,34,87,39.1,8,30,26.7,12,16,75,5,42,47,22,4,3,11,16,-32
CLE,01/31/2018,CLE vs. MIA,W,240,91,28,80,35,6,26,23.1,29,38,76.3,7,38,45,18,9,5,16,20,2
CLE,01/30/2018,CLE @ DET,L,241,114,38,84,45.2,13,35,37.1,25,32,78.1,7,34,41,24,2,5,15,22,-11
CLE,01/28/2018,CLE vs. DET,W,241,121,42,83,50.6,15,35,42.9,22,26,84.6,4,41,45,27,2,3,10,14,17
CLE,01/26/2018,CLE vs. IND,W,240,115,46,82,56.1,13,37,35.1,10,13,76.9,8,36,44,27,13,4,20,11,7
CLE,01/23/2018,CLE @ SAS,L,241,102,35,72,48.6,6,21,28.6,26,31,83.9,6,35,41,19,6,3,18,14,-12
CLE,01/20/2018,CLE vs. OKC,L,240,124,46,89,51.7,10,37,27,22,27,81.5,3,25,28,32,7,4,15,18,-24
CLE,01/18/2018,CLE vs. ORL,W,241,104,38,85,44.7,10,34,29.4,18,27,66.7,14,32,46,22,8,4,20,21,1
CLE,01/15/2018,CLE vs. GSW,L,239,108,43,94,45.7,7,28,25,15,22,68.2,12,31,43,26,9,5,15,22,-10
CLE,01/12/2018,CLE @ IND,L,240,95,37,85,43.5,7,34,20.6,14,19,73.7,9,37,46,19,12,5,11,15,-2
CLE,04/09/2018,CLE @ NYK,W,240,123,40,85,47.1,19,45,42.2,24,28,85.7,7,35,42,29,9,2,10,15,16
CLE,01/08/2018,CLE @ MIN,L,241,99,37,84,44,13,38,34.2,12,16,75,8,29,37,26,0,4,13,15,-28
CLE,01/06/2018,CLE @ ORL,W,239,131,47,94,50,15,34,44.1,22,31,71,14,31,45,25,11,2,17,26,4
CLE,01/03/2018,CLE @ BOS,L,242,88,31,89,34.8,8,32,25,18,18,100,9,39,48,16,6,7,14,17,-14
CLE,01/02/2018,CLE vs. POR,W,241,127,43,83,51.8,13,32,40.6,28,37,75.7,8,32,40,28,11,4,10,17,17
CLE,12/30/2017,CLE @ UTA,L,239,101,34,81,42,12,40,30,21,26,80.8,9,37,46,20,6,5,15,19,-3
CLE,12/27/2017,CLE @ SAC,L,241,95,32,74,43.2,12,31,38.7,19,25,76,7,30,37,19,9,4,11,15,-14
CLE,12/25/2017,CLE @ GSW,L,241,92,28,88,31.8,15,36,41.7,21,25,84,19,31,50,12,8,0,14,19,-7
CLE,12/21/2017,CLE vs. CHI,W,239,115,42,82,51.2,12,29,41.4,19,22,86.4,7,28,35,25,10,3,12,14,3
CLE,12/19/2017,CLE @ MIL,L,239,116,40,80,50,16,41,39,20,24,83.3,7,30,37,26,9,3,14,20,-3
CLE,12/17/2017,CLE @ WAS,W,239,106,41,87,47.1,14,34,41.2,10,12,83.3,4,38,42,24,6,4,8,16,7
CLE,12/16/2017,CLE vs. UTA,W,240,109,42,79,53.2,10,22,45.5,15,17,88.2,8,33,41,30,9,1,12,15,9
CLE,12/14/2017,CLE vs. LAL,W,241,121,43,86,50,15,36,41.7,20,25,80,8,31,39,32,10,5,14,16,9
CLE,12/12/2017,CLE vs. ATL,W,242,123,48,86,55.8,20,38,52.6,7,10,70,6,31,37,35,5,2,13,18,9
CLE,12/09/2017,CLE vs. PHI,W,240,105,36,75,48,14,29,48.3,19,25,76,6,27,33,26,12,2,17,16,7
CLE,12/08/2017,CLE @ IND,L,240,102,37,85,43.5,11,36,30.6,17,22,77.3,9,35,44,23,4,4,11,23,-4
CLE,12/06/2017,CLE vs. SAC,W,241,101,37,78,47.4,14,39,35.9,13,21,61.9,7,36,43,28,5,3,15,10,6
CLE,12/04/2017,CLE @ CHI,W,240,113,42,81,51.9,13,36,36.1,16,17,94.1,5,41,46,22,6,2,7,13,22
CLE,12/02/2017,CLE vs. MEM,W,240,116,42,75,56,11,24,45.8,21,23,91.3,1,30,31,24,8,7,10,14,5
CLE,11/30/2017,CLE @ ATL,W,240,121,41,79,51.9,18,39,46.2,21,27,77.8,12,28,40,30,9,5,19,20,7
CLE,11/28/2017,CLE vs. MIA,W,241,108,40,81,49.4,11,33,33.3,17,23,73.9,5,40,45,21,12,2,13,17,11
CLE,11/27/2017,CLE @ PHI,W,242,113,41,86,47.7,15,37,40.5,16,20,80,11,35,46,25,7,3,11,21,22
CLE,11/24/2017,CLE vs. CHA,W,240,100,38,83,45.8,13,39,33.3,11,15,73.3,3,42,45,25,4,7,12,24,1
CLE,11/22/2017,CLE vs. BKN,W,238,119,43,82,52.4,14,34,41.2,19,27,70.4,4,29,33,21,8,2,10,19,10
CLE,11/20/2017,CLE @ DET,W,239,116,42,80,52.5,16,33,48.5,16,17,94.1,7,35,42,28,4,2,11,14,28
CLE,11/17/2017,CLE vs. LAC,W,265,118,42,90,46.7,11,33,33.3,23,29,79.3,8,43,51,24,9,4,15,20,5
CLE,11/15/2017,CLE @ CHA,W,240,115,42,95,44.2,13,38,34.2,18,20,90,16,35,51,25,9,4,13,24,8
CLE,11/13/2017,CLE @ NYK,W,240,104,35,88,39.8,16,45,35.6,18,22,81.8,14,34,48,21,7,7,20,21,3
CLE,11/11/2017,CLE @ DAL,W,241,111,35,81,43.2,12,31,38.7,29,35,82.9,10,43,53,18,8,3,17,18,7
CLE,11/09/2017,CLE @ HOU,L,241,113,45,81,55.6,12,27,44.4,11,14,78.6,4,22,26,24,9,1,18,30,-4
CLE,11/07/2017,CLE vs. MIL,W,240,124,41,82,50,9,18,50,33,38,86.8,12,27,39,18,7,4,12,16,5
CLE,11/05/2017,CLE vs. ATL,L,240,115,42,96,43.8,10,36,27.8,21,23,91.3,15,32,47,27,6,6,13,29,-2
CLE,11/03/2017,CLE @ WAS,W,241,130,46,82,56.1,12,27,44.4,26,28,92.9,8,26,34,20,11,4,14,27,8
CLE,11/01/2017,CLE vs. IND,L,241,107,43,86,50,7,31,22.6,14,20,70,8,33,41,25,6,3,16,19,-17
CLE,10/29/2017,CLE vs. NYK,L,241,95,31,81,38.3,10,33,30.3,23,27,85.2,7,34,41,20,5,5,15,23,-19
CLE,10/28/2017,CLE @ NOP,L,241,101,36,78,46.2,12,32,37.5,17,23,73.9,5,32,37,19,8,2,18,19,-22
CLE,10/25/2017,CLE @ BKN,L,241,107,39,81,48.1,12,35,34.3,17,26,65.4,9,38,47,21,5,7,21,17,-12
CLE,10/24/2017,CLE vs. CHI,W,240,119,43,83,51.8,16,38,42.1,17,22,77.3,8,31,39,28,5,3,9,14,7
CLE,10/21/2017,CLE vs. ORL,L,241,93,33,86,38.4,7,25,28,20,27,74.1,11,33,44,15,4,7,16,14,-21
CLE,10/20/2017,CLE @ MIL,W,239,116,44,81,54.3,11,26,42.3,17,17,100,9,35,44,25,8,3,17,11,20
CLE,10/17/2017,CLE vs. BOS,W,239,102,38,83,45.8,5,22,22.7,21,25,84,9,41,50,19,3,4,17,25,3
DAL,04/10/2018,DAL vs. PHX,L,239,97,37,97,38.1,8,33,24.2,15,22,68.2,18,22,40,20,8,1,8,19,-27
DAL,04/08/2018,DAL @ PHI,L,239,97,40,94,42.6,11,40,27.5,6,13,46.2,10,33,43,24,6,6,11,9,-12
DAL,04/06/2018,DAL @ DET,L,265,106,40,92,43.5,13,39,33.3,13,18,72.2,10,36,46,26,7,5,12,20,-7
DAL,04/04/2018,DAL @ ORL,L,240,100,39,89,43.8,10,30,33.3,12,17,70.6,11,32,43,24,3,1,11,23,-5
DAL,04/03/2018,DAL vs. POR,W,241,115,42,92,45.7,17,44,38.6,14,20,70,8,35,43,27,8,5,7,16,6
DAL,04/01/2018,DAL @ CLE,L,241,87,32,79,40.5,13,37,35.1,10,11,90.9,4,34,38,15,5,3,15,20,-11
DAL,03/30/2018,DAL vs. MIN,L,240,92,38,86,44.2,11,28,39.3,5,7,71.4,6,40,46,22,5,5,14,17,-1
DAL,03/28/2018,DAL @ LAL,L,238,93,33,84,39.3,13,44,29.5,14,19,73.7,6,34,40,17,10,1,10,22,-10
DAL,03/27/2018,DAL @ SAC,W,241,103,36,80,45,14,40,35,17,25,68,4,39,43,25,7,9,10,17,6
DAL,03/24/2018,DAL vs. CHA,L,241,98,36,91,39.6,12,41,29.3,14,19,73.7,5,47,52,22,10,6,12,22,-4
DAL,03/22/2018,DAL vs. UTA,L,241,112,42,85,49.4,17,32,53.1,11,14,78.6,8,27,35,22,5,7,14,16,-7
DAL,03/20/2018,DAL @ NOP,L,241,105,43,90,47.8,10,35,28.6,9,11,81.8,9,31,40,25,4,2,8,14,-10
DAL,03/17/2018,DAL @ BKN,L,239,106,41,92,44.6,12,22,54.5,12,14,85.7,13,32,45,25,5,3,10,21,-8
DAL,03/16/2018,DAL @ TOR,L,264,115,48,91,52.7,6,22,27.3,13,18,72.2,6,30,36,25,7,5,10,27,-7
DAL,03/13/2018,DAL @ NYK,W,241,110,40,89,44.9,14,35,40,16,18,88.9,12,28,40,22,11,1,12,15,13
DAL,03/11/2018,DAL vs. HOU,L,240,82,33,94,35.1,5,31,16.1,11,18,61.1,17,36,53,27,5,2,10,18,-23
DAL,03/10/2018,DAL vs. MEM,W,240,114,37,77,48.1,10,29,34.5,30,35,85.7,9,43,52,21,8,3,10,18,34
DAL,03/06/2018,DAL vs. DEN,W,240,118,43,90,47.8,15,27,55.6,17,23,73.9,9,42,51,24,8,3,15,20,11
DAL,03/04/2018,DAL vs. NOP,L,239,109,40,90,44.4,10,23,43.5,19,25,76,10,33,43,25,5,2,12,20,-17
DAL,03/02/2018,DAL @ CHI,L,241,100,35,84,41.7,13,29,44.8,17,21,81,13,33,46,21,6,4,17,15,-8
DAL,02/28/2018,DAL vs. OKC,L,266,110,44,91,48.4,13,36,36.1,9,15,60,8,28,36,30,11,1,16,22,-1
DAL,02/26/2018,DAL vs. IND,W,242,109,40,88,45.5,14,37,37.8,15,18,83.3,7,37,44,20,9,3,10,21,6
DAL,02/24/2018,DAL @ UTA,L,241,90,34,83,41,10,35,28.6,12,14,85.7,5,39,44,19,6,4,15,23,-7
DAL,02/23/2018,DAL @ LAL,L,238,102,37,91,40.7,19,42,45.2,9,11,81.8,3,26,29,25,9,8,11,19,-22
DAL,02/13/2018,DAL vs. SAC,L,240,109,38,83,45.8,15,40,37.5,18,23,78.3,4,33,37,29,4,4,9,15,-5
DAL,02/11/2018,DAL @ HOU,L,241,97,38,93,40.9,10,31,32.3,11,16,68.8,12,40,52,26,6,4,14,25,-7
DAL,02/10/2018,DAL vs. LAL,W,240,130,48,89,53.9,12,27,44.4,22,27,81.5,10,30,40,32,8,3,9,21,7
DAL,02/08/2018,DAL @ GSW,L,240,103,40,92,43.5,9,37,24.3,14,17,82.4,9,25,34,19,15,7,10,16,-18
DAL,02/05/2018,DAL @ LAC,L,239,101,33,80,41.3,17,42,40.5,18,20,90,7,31,38,22,5,5,20,23,-3
DAL,02/03/2018,DAL @ SAC,W,240,106,41,83,49.4,13,41,31.7,11,14,78.6,9,27,36,28,8,0,13,12,7
DAL,01/31/2018,DAL @ PHX,L,241,88,32,88,36.4,10,36,27.8,14,26,53.8,15,34,49,18,11,4,12,18,-14
DAL,01/29/2018,DAL vs. MIA,L,239,88,33,86,38.4,8,29,27.6,14,16,87.5,11,29,40,20,10,3,12,22,-7
DAL,01/27/2018,DAL @ DEN,L,239,89,34,85,40,11,31,35.5,10,19,52.6,8,35,43,17,8,5,8,15,-2
DAL,01/26/2018,DAL vs. POR,L,240,93,35,89,39.3,10,30,33.3,13,17,76.5,8,29,37,17,9,3,5,19,-14
DAL,01/24/2018,DAL vs. HOU,L,240,97,35,82,42.7,15,35,42.9,12,18,66.7,9,40,49,24,5,2,13,21,-7
DAL,01/22/2018,DAL vs. WAS,W,240,98,38,87,43.7,10,31,32.3,12,17,70.6,9,43,52,20,9,9,11,21,23
DAL,01/20/2018,DAL @ POR,L,241,108,38,83,45.8,10,25,40,22,28,78.6,11,26,37,19,9,5,9,21,-9
DAL,01/16/2018,DAL @ DEN,L,239,102,38,78,48.7,8,27,29.6,18,22,81.8,5,30,35,17,10,3,16,24,-3
DAL,01/13/2018,DAL vs. LAL,L,266,101,34,90,37.8,11,43,25.6,22,28,78.6,4,35,39,20,5,1,8,17,-6
DAL,01/10/2018,DAL @ CHA,W,240,115,39,83,47,15,36,41.7,22,28,78.6,3,36,39,23,7,7,8,22,4
DAL,01/09/2018,DAL vs. ORL,W,241,114,43,83,51.8,9,26,34.6,19,22,86.4,5,33,38,27,6,2,4,22,15
DAL,01/07/2018,DAL vs. NYK,L,241,96,35,92,38,6,24,25,20,24,83.3,9,31,40,22,7,3,7,20,-4
DAL,01/05/2018,DAL vs. CHI,L,239,124,49,92,53.3,14,32,43.8,12,17,70.6,7,27,34,33,11,2,13,24,-3
DAL,01/03/2018,DAL vs. GSW,L,240,122,43,90,47.8,19,43,44.2,17,22,77.3,7,33,40,29,6,2,12,17,-3
DAL,12/31/2017,DAL @ OKC,W,240,116,46,89,51.7,15,34,44.1,9,14,64.3,8,28,36,26,5,5,7,18,3
DAL,12/29/2017,DAL @ NOP,W,241,128,46,83,55.4,22,39,56.4,14,18,77.8,5,38,43,27,5,4,15,23,8
DAL,12/27/2017,DAL @ IND,W,240,98,40,78,51.3,8,29,27.6,10,15,66.7,4,31,35,26,7,3,9,12,4
DAL,12/26/2017,DAL vs. TOR,W,241,98,40,94,42.6,6,24,25,12,16,75,16,40,56,20,5,11,13,24,5
DAL,12/23/2017,DAL @ ATL,L,240,107,43,85,50.6,9,33,27.3,12,15,80,7,23,30,31,8,3,10,17,-5
DAL,12/22/2017,DAL @ MIA,L,241,101,38,75,50.7,17,35,48.6,8,11,72.7,3,19,22,28,5,2,8,12,-12
DAL,12/20/2017,DAL vs. DET,W,239,110,40,75,53.3,14,30,46.7,16,20,80,4,33,37,22,6,7,12,17,17
DAL,12/18/2017,DAL vs. PHX,L,240,91,32,88,36.4,11,37,29.7,16,17,94.1,8,34,42,21,10,5,15,18,-6
DAL,12/16/2017,DAL @ SAS,L,241,96,39,80,48.8,10,28,35.7,8,9,88.9,4,34,38,23,4,4,9,16,-2
DAL,12/14/2017,DAL @ GSW,L,242,97,37,82,45.1,10,29,34.5,13,17,76.5,8,23,31,25,7,1,11,16,-15
DAL,12/12/2017,DAL vs. SAS,W,239,95,38,89,42.7,9,24,37.5,10,12,83.3,8,41,49,17,8,2,6,19,6
DAL,12/10/2017,DAL @ MIN,L,239,92,37,81,45.7,11,31,35.5,7,9,77.8,6,27,33,23,6,5,10,22,-5
DAL,12/08/2017,DAL @ MIL,L,242,102,35,75,46.7,10,24,41.7,22,26,84.6,4,32,36,18,6,2,11,22,-7
DAL,12/06/2017,DAL @ BOS,L,240,90,34,86,39.5,9,28,32.1,13,17,76.5,6,39,45,19,7,5,9,12,-7
DAL,12/04/2017,DAL vs. DEN,W,239,122,49,86,57,12,26,46.2,12,17,70.6,5,37,42,26,4,6,7,18,17
DAL,12/02/2017,DAL vs. LAC,W,240,108,36,79,45.6,16,35,45.7,20,26,76.9,15,39,54,24,4,7,15,20,26
DAL,11/29/2017,DAL vs. BKN,L,240,104,39,84,46.4,9,27,33.3,17,21,81,7,37,44,26,5,3,11,23,-5
DAL,11/27/2017,DAL @ SAS,L,241,108,41,85,48.2,14,32,43.8,12,17,70.6,4,36,40,25,7,0,11,19,-7
DAL,11/25/2017,DAL vs. OKC,W,241,97,37,75,49.3,15,35,42.9,8,11,72.7,8,35,43,25,11,5,17,18,16
DAL,11/22/2017,DAL @ MEM,W,240,95,39,91,42.9,9,28,32.1,8,16,50,4,36,40,23,9,2,8,14,1
DAL,11/20/2017,DAL vs. BOS,L,265,102,39,96,40.6,7,33,21.2,17,20,85,8,37,45,18,7,3,11,22,-8
DAL,11/18/2017,DAL vs. MIL,W,241,111,38,79,48.1,19,38,50,16,19,84.2,7,42,49,27,7,2,16,26,32
DAL,11/17/2017,DAL vs. MIN,L,240,87,32,86,37.2,8,38,21.1,15,17,88.2,11,30,41,18,3,3,11,20,-24
DAL,11/14/2017,DAL vs. SAS,L,241,91,33,81,40.7,10,34,29.4,15,18,83.3,5,35,40,18,7,4,15,23,-6
DAL,11/12/2017,DAL @ OKC,L,239,99,37,87,42.5,11,37,29.7,14,18,77.8,11,30,41,18,9,4,20,20,-13
DAL,11/11/2017,DAL vs. CLE,L,240,104,39,92,42.4,10,34,29.4,16,21,76.2,9,33,42,21,7,3,10,26,-7
DAL,11/07/2017,DAL @ WAS,W,240,113,43,91,47.3,11,30,36.7,16,20,80,11,42,53,26,6,8,11,23,14
DAL,11/04/2017,DAL @ MIN,L,240,99,40,87,46,10,27,37,9,12,75,7,24,31,18,7,2,15,19,-13
DAL,11/03/2017,DAL vs. NOP,L,241,94,34,88,38.6,9,34,26.5,17,22,77.3,9,38,47,19,4,7,15,24,-5
DAL,11/01/2017,DAL @ LAC,L,240,98,35,89,39.3,12,36,33.3,16,20,80,9,29,38,20,8,5,14,22,-21
DAL,10/30/2017,DAL @ UTA,L,242,89,34,76,44.7,12,24,50,9,11,81.8,9,33,42,17,4,3,24,16,-15
DAL,10/28/2017,DAL vs. PHI,L,241,110,38,74,51.4,19,40,47.5,15,19,78.9,3,30,33,22,7,2,17,15,-8.8
DAL,10/26/2017,DAL @ MEM,L,240,91,32,94,34,10,34,29.4,17,20,85,18,35,53,20,10,3,14,22,-8.6
DAL,10/25/2017,DAL vs. MEM,W,239,103,36,74,48.6,11,26,42.3,20,29,69,4,31,35,20,6,4,11,20,9
DAL,10/23/2017,DAL vs. GSW,L,240,103,38,96,39.6,9,29,31,18,30,60,14,28,42,21,11,0,12,20,-23.8
DAL,10/21/2017,DAL @ HOU,L,241,91,31,84,36.9,13,31,41.9,16,21,76.2,8,33,41,19,6,0,14,19,-16
DAL,10/20/2017,DAL vs. SAC,L,240,88,31,75,41.3,11,33,33.3,15,21,71.4,7,29,36,19,8,7,12,13,-5
DAL,10/18/2017,DAL vs. ATL,L,240,111,38,86,44.2,17,45,37.8,18,21,85.7,9,32,41,27,5,4,15,19,-6
DEN,04/11/2018,DEN @ MIN,L,263,106,41,90,45.6,13,32,40.6,11,18,61.1,10,37,47,19,4,4,12,22,-6
DEN,04/09/2018,DEN vs. POR,W,239,88,31,83,37.3,6,26,23.1,20,26,76.9,10,42,52,22,7,5,12,18,6
DEN,04/07/2018,DEN @ LAC,W,241,134,53,85,62.4,12,29,41.4,16,23,69.6,7,26,33,36,4,6,7,26,19
DEN,04/05/2018,DEN vs. MIN,W,240,100,35,89,39.3,11,36,30.6,19,22,86.4,13,34,47,21,3,7,10,17,4
DEN,04/03/2018,DEN vs. IND,W,240,107,41,89,46.1,10,32,31.3,15,20,75,13,36,49,31,10,8,16,19,3
DEN,04/01/2018,DEN vs. MIL,W,265,128,40,90,44.4,11,36,30.6,37,46,80.4,17,40,57,27,2,8,17,23,3
DEN,03/30/2018,DEN @ OKC,W,265,126,49,94,52.1,10,30,33.3,18,21,85.7,12,46,58,27,4,5,15,24,1
DEN,03/27/2018,DEN @ TOR,L,240,110,42,89,47.2,13,30,43.3,13,14,92.9,10,30,40,26,6,6,11,16,-4
DEN,03/26/2018,DEN @ PHI,L,241,104,36,84,42.9,11,32,34.4,21,34,61.8,9,28,37,27,10,7,15,21,-19
DEN,03/23/2018,DEN @ WAS,W,239,108,37,85,43.5,17,34,50,17,18,94.4,7,31,38,25,5,10,10,16,8
DEN,03/21/2018,DEN @ CHI,W,240,135,51,83,61.4,20,35,57.1,13,16,81.3,8,37,45,34,9,6,17,13,33
DEN,03/19/2018,DEN @ MIA,L,290,141,46,100,46,18,38,47.4,31,37,83.8,11,35,46,23,10,5,13,25,-8
DEN,03/17/2018,DEN @ MEM,L,240,94,32,87,36.8,9,33,27.3,21,29,72.4,18,31,49,17,10,5,7,25,-7
DEN,03/15/2018,DEN vs. DET,W,240,120,43,85,50.6,12,28,42.9,22,28,78.6,10,35,45,26,7,8,15,15,7
DEN,03/13/2018,DEN @ LAL,L,239,103,38,86,44.2,13,40,32.5,14,19,73.7,5,39,44,26,12,4,19,26,-9
DEN,03/11/2018,DEN vs. SAC,W,240,130,50,89,56.2,15,37,40.5,15,21,71.4,8,43,51,38,2,4,7,17,26
DEN,03/09/2018,DEN vs. LAL,W,240,125,42,83,50.6,15,31,48.4,26,30,86.7,7,29,36,30,10,6,12,16,9
DEN,03/07/2018,DEN vs. CLE,L,239,108,42,86,48.8,10,27,37,14,18,77.8,14,37,51,22,7,2,21,16,-5
DEN,03/06/2018,DEN @ DAL,L,240,107,38,92,41.3,11,36,30.6,20,26,76.9,11,38,49,23,5,8,14,16,-11
DEN,03/03/2018,DEN @ CLE,W,239,126,47,86,54.7,19,35,54.3,13,15,86.7,6,29,35,35,4,3,9,19,9
DEN,03/02/2018,DEN @ MEM,W,241,108,40,73,54.8,6,22,27.3,22,26,84.6,6,31,37,18,17,3,22,22,6
DEN,02/27/2018,DEN vs. LAC,L,239,120,43,87,49.4,10,31,32.3,24,30,80,11,30,41,27,11,7,20,27,6
DEN,02/25/2018,DEN vs. HOU,L,240,114,44,91,48.4,10,29,34.5,16,24,66.7,12,24,36,33,13,6,13,27,-2
DEN,02/23/2018,DEN vs. SAS,W,240,122,48,97,49.5,12,32,37.5,14,19,73.7,18,34,52,33,5,3,11,27,3
DEN,02/15/2018,DEN @ MIL,W,240,134,47,85,55.3,24,40,60,16,20,80,8,26,34,37,9,6,18,23,11
DEN,02/13/2018,DEN vs. SAS,W,240,117,46,93,49.5,10,32,31.3,15,18,83.3,11,24,35,29,10,3,11,18,8
DEN,02/10/2018,DEN @ PHX,W,239,123,45,88,51.1,13,29,44.8,20,22,90.9,6,31,37,20,10,5,13,23,7
DEN,02/09/2018,DEN @ HOU,L,240,104,42,88,47.7,3,28,10.7,17,21,81,7,32,39,25,7,2,10,20,-26
DEN,02/05/2018,DEN vs. CHA,W,240,121,46,81,56.8,18,34,52.9,11,13,84.6,5,36,41,30,10,2,11,15,17
DEN,02/03/2018,DEN vs. GSW,W,240,115,39,91,42.9,12,29,41.4,25,29,86.2,16,32,48,28,7,0,15,17,7
DEN,02/01/2018,DEN vs. OKC,W,241,127,50,97,51.5,15,38,39.5,12,17,70.6,9,34,43,32,3,10,11,17,3
DEN,01/30/2018,DEN @ SAS,L,241,104,40,86,46.5,10,23,43.5,14,14,100,10,28,38,22,11,6,13,14,-2
DEN,01/29/2018,DEN vs. BOS,L,240,110,42,93,45.2,10,33,30.3,16,21,76.2,15,32,47,31,4,3,10,14,-1
DEN,01/27/2018,DEN vs. DAL,W,240,91,34,81,42,12,33,36.4,11,15,73.3,9,44,53,23,6,8,14,21,2
DEN,01/25/2018,DEN vs. NYK,W,239,130,48,80,60,14,28,50,20,24,83.3,2,30,32,36,3,2,13,20,12
DEN,01/22/2018,DEN vs. POR,W,241,104,34,83,41,10,30,33.3,26,33,78.8,14,35,49,23,7,8,15,20,7
DEN,01/19/2018,DEN vs. PHX,L,240,100,35,78,44.9,14,36,38.9,16,21,76.2,7,35,42,23,7,5,16,20,-8
DEN,01/17/2018,DEN @ LAC,L,241,104,42,97,43.3,5,25,20,15,18,83.3,20,34,54,23,13,7,19,25,-5
DEN,01/16/2018,DEN vs. DAL,W,238,105,40,86,46.5,8,26,30.8,17,26,65.4,15,32,47,23,10,3,18,23,3
DEN,01/13/2018,DEN @ SAS,L,237,80,29,83,34.9,7,28,25,15,17,88.2,11,30,41,18,9,4,15,16,-32
DEN,01/12/2018,DEN vs. MEM,W,240,87,27,70,38.6,7,22,31.8,26,32,81.3,12,35,47,15,8,3,14,18,9
DEN,01/10/2018,DEN vs. ATL,L,240,97,38,95,40,9,37,24.3,12,20,60,14,26,40,27,13,6,12,18,-13
DEN,01/08/2018,DEN @ GSW,L,239,114,47,95,49.5,8,19,42.1,12,16,75,13,26,39,30,8,3,11,16,-10
DEN,01/06/2018,DEN @ SAC,L,239,98,35,76,46.1,13,34,38.2,15,21,71.4,8,38,46,20,2,6,25,17,-8
DEN,01/05/2018,DEN vs. UTA,W,240,99,38,86,44.2,14,35,40,9,15,60,4,33,37,24,9,1,10,11,8
